good	好的	/ɡʊd/
risks	风险	/rɪsks/
convince	说服	/kənˈvɪns/
slowly	慢慢地	/ˈsloʊli/
frequently	频繁地	/ˈfrikwəntli/
promoting	促进	/prəˈmoʊtɪŋ/
younger	年轻的	/ˈjʌŋɡər/
earn	赚取	/ɜːrn/
financial	金融的	/faɪˈnænʃəl/
deeply	深深地	/ˈdiːpli/
occupy	占据	/ˈɑːkjupaɪ/
including	包括	/ɪnˈkluːdɪŋ/
built	建造	/bɪlt/
satisfy	满足	/ˈsætɪsfaɪ/
amounts	数量	/əˈmaʊnts/
dig	挖	/dɪɡ/
guy	家伙	/ɡaɪ/
stops	停止	/stɑːps/
initial	最初的	/ɪˈnɪʃəl/
greater	更大的	/ˈɡreɪtər/
moves	移动	/muːvz/
input	输入	/ˈɪnpʊt/
breaking	打破	/ˈbreɪkɪŋ/
exist	存在	/ɪɡˈzɪst/
remove	移除	/rɪˈmuːv/
theirs	他们的	/ðɛrz/
explaining	解释	/ɪkˈspleɪnɪŋ/
judgments	判断	/ˈdʒʌdʒmənts/
approached	接近	/əˈproʊtʃt/
played	玩	/pleɪd/
function	功能	/ˈfʌŋkʃən/
becoming	成为	/bɪˈkʌmɪŋ/
members	成员	/ˈmɛmbərz/
realizing	实现	/ˈriːəlaɪzɪŋ/
games	游戏	/ɡeɪmz/
edge	边缘	/ɛdʒ/
distance	距离	/ˈdɪstəns/
error	错误	/ˈɛrər/
feels	感觉	/fiːlz/
mentioned	提到	/ˈmɛnʃənd/
demands	需求	/dɪˈmændz/
offered	提供	/ˈɔːfərd/
candidates	候选人	/ˈkændɪdəts/
incredibly	难以置信地	/ɪnˈkrɛdəbli/
leaving	离开	/ˈliːvɪŋ/
illustrates	说明	/ˈɪləstreɪts/
practicing	练习	/ˈpræktɪsɪŋ/
secure	安全的	/sɪˈkjʊr/
champions	冠军	/ˈtʃæmpiənz/
expected	预期的	/ɪkˈspɛktɪd/
employees	雇员	/ˌɛmplɔɪˈiz/
pieces	片	/ˈpisɪz/
masters	大师	/ˈmæstərz/
adding	添加	/ˈædɪŋ/
technique	技术	/tɛkˈnik/
letters	字母	/ˈlɛtərz/
baseline	基线	/ˈbeɪslaɪn/
acquire	获得	/əˈkwaɪr/
disaster	灾难	/dɪˈzæstər/
alternatives	替代品	/ɔːlˈtɜːrnətɪvz/
features	特征	/ˈfiːtʃərz/
filling	填充	/ˈfɪlɪŋ/
schedule	时间表	/ˈskɛdʒuːl/
surprised	惊讶的	/sərˈpraɪzd/
pilots	飞行员	/ˈpaɪləts/
sees	看见	/siz/
commit	承诺	/kəˈmɪt/
experienced	有经验的	/ɪkˈspɪriənst/
perspectives	观点	/pərˈspɛktɪvz/
tells	告诉	/tɛlz/
treating	对待	/ˈtritɪŋ/
network	网络	/ˈnɛtwɜːrk/
reconstruction	重建	/ˌriːkənˈstrʌkʃən/
paying	支付	/ˈpeɪɪŋ/
thinkers	思想家	/ˈθɪŋkərz/
CA	加利福尼亚州	/siːˈeɪ/
perspective	观点	/pərˈspɛktɪv/
decision-making	决策	/dɪˈsɪʒənˌmeɪkɪŋ/
circumstances	情况	/ˈsɜːrkəmstənsɪz/
quality	质量	/ˈkwɑːləti/
biological	生物学的	/ˌbaɪəˈlɑːdʒɪkəl/
habits	习惯	/ˈhæbɪts/
rarely	很少	/ˈrɛrli/
losing	失去	/ˈluːzɪŋ/
self-knowledge	自我认知	/sɛlf ˈnɑːlɪdʒ/
expense	费用	/ɪkˈspɛns/
crowd	人群	/kraʊd/
instincts	本能	/ˈɪnstɪŋkts/
entire	整个	/ɪnˈtaɪər/
per	每	/pər/
merely	仅仅	/ˈmɪrli/
territory	领土	/ˈtɛrəˌtɔːri/
short term	短期	/ʃɔːrt tɜːrm/
clarity	清晰	/ˈklærəti/
biology	生物学	/baɪˈɑːlədʒi/
assume	假设	/əˈsjuːm/
shifting	转移	/ˈʃɪftɪŋ/
problem-defining	问题定义	/ˈprɑːbləm dɪˈfaɪnɪŋ/
constantly	不断地	/ˈkɑːnstəntli/
military	军事的	/ˈmɪləˌteri/
prove	证明	/pruːv/
instinctively	本能地	/ɪnˈstɪŋktɪvli/
instinct	本能	/ˈɪnstɪŋkt/
inbuilt	内置的	/ˌɪnˈbɪlt/
irrelevant	不相关的	/ɪˈrɛləvənt/
consulting	咨询	/kənˈsʌltɪŋ/
optionality	选择性	/ˌɑːpʃəˈnæləti/
ebook	电子书	/ˈiːˌbʊk/
enhance	增强	/ɪnˈhæns/
mode	模式	/moʊd/
rival	竞争对手	/ˈraɪvəl/
norm	规范	/nɔːrm/
doubling	加倍	/ˈdʌblɪŋ/
instantly	立即	/ˈɪnstəntli/
irreversible	不可逆的	/ˌɪrɪˈvɜːrsəbl/
letting	出租	/ˈlɛtɪŋ/
throughout	贯穿	/θruːˈaʊt/
states	州	/steɪts/
claim	要求	/kleɪm/
reversibility	可逆性	/ˌrɪvərˈsɪbɪləti/
random	随机的	/ˈrændəm/
encourages	鼓励	/ɪnˈkɜːrɪdʒɪz/
buying	购买	/ˈbaɪɪŋ/
title	标题	/ˈtaɪtl/
includes	包括	/ɪnˈkluːdz/
print	打印	/prɪnt/
contents	内容	/ˈkɑːntɛnts/
imagined	想象	/ɪˈmædʒɪnd/
operations	操作	/ˌɑːpəˈreɪʃənz/
explained	解释	/ɪkˈspleɪnd/
finished	完成	/ˈfɪnɪʃt/
reasoned	推理	/ˈriːzənd/
systems	系统	/ˈsɪstəmz/
listening	听	/ˈlɪsənɪŋ/
determined	决定	/dɪˈtɜːrmɪnd/
named	命名	/neɪmd/
evolved	演变	/ɪˈvɑːlvd/
managed	管理	/ˈmænɪdʒd/
approaches	方法	/əˈproʊtʃɪz/
fancy	花哨	/ˈfænsi/
figured	计算	/ˈfɪɡərd/
savings	储蓄	/ˈseɪvɪŋz/
tries	尝试	/traɪz/
thinks	认为	/θɪŋks/
accumulation	积累	/əˌkjuːmjəˈleɪʃən/
puts	放置	/pʊts/
forced	强迫	/fɔːrst/
outperform	胜过	/aʊtˈpɜːrˌfɔːrm/
greatest	最大的	/ˈɡreɪtɪst/
generally	一般地	/ˈdʒɛnərəli/
presence	存在	/ˈprɛzəns/
met	遇见	/mɛt/
included	包括	/ɪnˈkluːdɪd/
slights	轻视	/slaɪts/
consumed	消耗	/kənˈsjuːmd/
received	收到	/rɪˈsivd/
fixing	修复	/ˈfɪksɪŋ/
applies	适用	/əˈplaɪz/
threats	威胁	/θrɛts/
wasting	浪费	/ˈweɪstɪŋ/
naturally	自然地	/ˈnætʃərəli/
push	推动	/pʊʃ/
evolution	进化	/ˌiːvəˈluːʃən/
environments	环境	/ɪnˈvaɪrənmənts/
unlike	不像	/ʌnˈlaɪk/
immediately	立即	/ɪˈmidiətli/
causes	原因	/ˈkɔːzɪz/
shot	射击	/ʃɑːt/
noticed	注意到	/ˈnoʊtɪst/
politics	政治	/ˈpɑːləˌtɪks/
driver	驱动程序	/ˈdraɪvər/
driving	驾驶	/ˈdraɪvɪŋ/
distraction	分心	/dɪˈstrækʃən/
frustration	挫折	/frʌsˈtreɪʃən/
promote	促进	/prəˈmoʊt/
appearing	出现	/əˈpɪrɪŋ/
competence	能力	/ˈkɑːmpɪtəns/
actual	实际的	/ˈæktʃuəl/
accomplished	完成	/əˈkɑːmplɪʃt/
insightful	有洞察力的	/ˈɪnsaɪtfəl/
memories	回忆	/ˈmɛməriz/
recognition	认可	/ˌrɛkəɡˈnɪʃən/
witnessed	目睹	/ˈwɪtnɪst/
rewards	奖励	/rɪˈwɔːrdz/
holds	保持	/hoʊldz/
warning	警告	/ˈwɔːrnɪŋ/
controlling	控制	/kənˈtroʊlɪŋ/
stock	库存	/stɑːk/
coming	来临	/ˈkʌmɪŋ/
partners	合作伙伴	/ˈpɑːrtnərz/
gone	离开	/ɡɔːn/
physics	物理学	/ˈfɪzɪks/
possibility	可能性	/ˌpɑːsəˈbɪləti/
customers	顾客	/ˈkʌstəmərz/
low risk	低风险	/loʊ rɪsk/
faced	面对	/feɪst/
attributed	归因于	/əˈtrɪbjutɪd/
dismiss	解雇	/dɪˈsmɪs/
type	类型	/taɪp/
quitting	辞职	/ˈkwɪtɪŋ/
carefully	小心地	/ˈkerfəli/
hire	雇佣	/haɪər/
press	按	/prɛs/
accountable	负责任	/əˈkaʊntəbəl/
tiny	小的	/ˈtaɪni/
mission	任务	/ˈmɪʃən/
increased	增加	/ɪnˈkrisd/
executed	执行	/ˈɛksɪkjutɪd/
poker	扑克	/ˈpoʊkər/
provides	提供	/prəˈvaɪdz/
sea	海	/si/
cards	卡片	/kɑrdz/
repeated	重复	/rɪˈpitɪd/
obstacles	障碍	/ˈɑbstəkəlz/
hash	哈希	/hæʃ/
user	用户	/ˈjuzər/
hallway	走廊	/ˈhɔlweɪ/
ring	戒指	/rɪŋ/
bookcase	书架	/ˈbʊkkeɪs/
violin	小提琴	/ˌvaɪəˈlɪn/
ropeway	索道	/ˈroʊpweɪ/
cable car	缆车	/ˈkeɪbəl kɑr/
uniform	制服	/ˈjunəˌfɔrm/
giraffe	长颈鹿	/dʒəˈræf/
mutton	羊肉	/ˈmʌtn/
quite	相当	/kwaɪt/
tent	帐篷	/tɛnt/
fantastic	极好的	/fænˈtæstɪk/
charming	迷人的	/ˈtʃɑrmɪŋ/
crowded	拥挤的	/ˈkraʊdɪd/
corn	玉米	/kɔrn/
bamboo	竹子	/ˈbæmˌbu/
underwear	内衣	/ˈʌndərˌwɛr/
treasure	宝藏	/ˈtrɛʒər/
overnight	一夜之间	/ˌoʊvərˈnaɪt/
pop	流行	/pɑp/
grape	葡萄	/greɪp/
pardon	原谅	/ˈpɑrdn/
napkin	餐巾	/ˈnæpkɪn/
cream	奶油	/krim/
pie	馅饼	/paɪ/
disbelief	不信	/dɪsˈbɪlif/
servant	仆人	/ˈsɜrvənt/
pupil	学生	/ˈpjupəl/
fox	狐狸	/fɑks/
ancient	古代	/ˈeɪnʃənt/
dare	敢	/dɛr/
insect	昆虫	/ˈɪnsɛkt/
chopsticks	筷子	/ˈtʃɑːpstɪks/
coin	硬币	/kɔɪn/
scissors	剪刀	/ˈsɪzərz/
laboratory	实验室	/ˈlæbərəˌtɔːri/
bury	埋葬	/ˈbɛri/
burial	葬礼	/ˈbɛriəl/
documentary	纪录片	/ˌdɑːkjəˈmɛntəri/
stare	凝视	/stɛr/
stare at	盯着看	/stɛr æt/
litter	垃圾	/ˈlɪtər/
noon	中午	/nuːn/
turkey	火鸡	/ˈtɜːrki/
railway	铁路	/ˈreɪlweɪ/
railway station	火车站	/ˈreɪlweɪ ˈsteɪʃən/
board game	桌游	/bɔːrd ɡeɪm/
look up to	尊敬	/lʊk ʌp tuː/
wasted	浪费	/ˈweɪstɪd/
numerous	众多的	/ˈnuːmərəs/
seek	寻找	/sik/
leading	领先的	/ˈliːdɪŋ/
witness	目击者	/ˈwɪtnəs/
animals	动物	/ˈænɪməlz/
highway	高速公路	/ˈhaɪweɪ/
seeking	寻求	/ˈsiːkɪŋ/
automatically	自动地	/ˌɔːtəˈmætɪkli/
loss	损失	/lɔːs/
section	部分	/ˈsɛkʃən/
prompt	迅速的	/prɑːmpt/
successfully	成功地	/səkˈsɛsfəli/
growing	增长的	/ˈɡroʊɪŋ/
drunk	醉的	/drʌŋk/
ceiling	天花板	/ˈsiːlɪŋ/
proof	证据	/pruːf/
married	已婚的	/ˈmærid/
rolex	劳力士	/ˈroʊlɛks/
rolex watch	劳力士手表	/ˈroʊlɛks wɑːtʃ/
evidence	证据	/ˈɛvɪdəns/
students	学生	/ˈstudənts/
measure	测量	/ˈmɛʒər/
sends	发送	/sɛndz/
producing	生产	/prəˈduːsɪŋ/
managers	经理	/ˈmænɪdʒərz/
men	男人	/mɛn/
believed	相信	/bɪˈliːvd/
stopping	停止	/ˈstɑːpɪŋ/
zone	区域	/zoʊn/
production	生产	/prəˈdʌkʃən/
smallest	最小的	/ˈsmɔːlɪst/
ratio	比率	/ˈreɪʃioʊ/
outsize	超大号	/ˈaʊtsaɪz/
oversize	超大号	/ˈoʊvərsaɪz/
objects	物体	/ˈɑːbdʒɛkts/
label	标签	/ˈleɪbəl/
partly	部分地	/ˈpɑːrtli/
America	美国	/əˈmɛrɪkə/
suspect	怀疑	/səˈspɛkt/
reflex	反射	/ˈriːflɛks/
algorithm	算法	/ˈælɡərɪðəm/
output	输出	/ˈaʊtpʊt/
smoking	吸烟	/ˈsmoʊkɪŋ/
mentors	导师	/ˈmɛntɔːrz/
mentor	导师	/ˈmɛntɔːr/
soul	灵魂	/soʊl/
optional	可选的	/ˈɑːpʃənl/
ego	自我	/ˈiːɡoʊ/
willpower	意志力	/ˈwɪlˌpaʊər/
bias	偏见	/ˈbaɪəs/
pursue	追求	/pərˈsuː/
rely	依赖	/rɪˈlaɪ/
absence	缺席	/ˈæbsəns/
comment	评论	/ˈkɑːmɛnt/
concern	关注	/kənˈsɜːrn/
complex	复杂的	/ˈkɑːmplɛks/
dreams	梦想	/driːmz/
chef	厨师	/ʃɛf/
chief	首席	/tʃiːf/
doubts	怀疑	/daʊts/
rocks	岩石	/rɑːks/
breathing	呼吸	/ˈbriːðɪŋ/
reminds	提醒	/rɪˈmaɪndz/
honesty	诚实	/ˈɑːnɪsti/
quicker	更快	/ˈkwɪkər/
deny	否认	/dɪˈnaɪ/
denying	否认	/dɪˈnaɪɪŋ/
discussing	讨论	/dɪˈskʌsɪŋ/
previously	以前	/ˈpriːviəsli/
confuse	困惑	/kənˈfjuːz/
philip	菲利普	/ˈfɪlɪp/
images	图像	/ˈɪmɪdʒɪz/
decrease	减少	/dɪˈkriːs/
acted	行动	/ˈæktɪd/
watched	观看	/wɑːtʃt/
followed	跟随	/ˈfɑːloʊd/
discovered	发现	/dɪˈskʌvərd/
tested	测试	/tɛstɪd/
link	链接	/lɪŋk/
scale	规模	/skeɪl/
apologize	道歉	/əˈpɑːləˌdʒaɪz/
decades	几十年	/ˈdɛkeɪdz/
contribution	贡献	/ˌkɑːntrɪˈbjuːʃən/
magically	神奇地	/ˈmædʒɪkəli/
heroes	英雄	/ˈhɪroʊz/
spoken	口语的	/ˈspoʊkən/
unstoppable	不可阻挡的	/ʌnˈstɑːpəbəl/
species	物种	/ˈspiːʃiːz/
strengthen	加强	/ˈstrɛŋθən/
worthless	毫无价值的	/ˈwɜːrθləs/
trees	树木	/triz/
accomplishing	完成	/əˈkɑːmplɪʃɪŋ/
genius	天才	/ˈdʒiːniəs/
depends	取决于	/dɪˈpɛndz/
cuts	削减	/kʌts/
brains	大脑	/breɪnz/
hurting	伤害	/ˈhɜːrtɪŋ/
countless	无数的	/ˈkaʊntləs/
suffer	遭受	/ˈsʌfər/
learns	学习	/lɜːrnz/
stronger	更强大的	/ˈstrɔːŋɡər/
reactions	反应	/riˈækʃənz/
ancestors	祖先	/ˈænsɛstərz/
pure	纯粹的	/pjʊr/
cutting	剪切	/ˈkʌtɪŋ/
processing	处理	/ˈprɑːsɛsɪŋ/
humans	人类	/ˈhjuːmənz/
chaos	混乱	/ˈkeɪɑːs/
sum	总和	/sʌm/
sums	总和	/sʌmz/
route	路线	/ruːt/
marketing	市场营销	/ˈmɑːrkɪtɪŋ/
operates	运营	/ˈɑːpəreɪts/
net	净	/nɛt/
exit	出口	/ˈɛksɪt/
viewing	观看	/ˈvjuːɪŋ/
applied	应用	/əˈplaɪd/
reliably	可靠地	/rɪˈlaɪəbli/
landing	着陆	/ˈlændɪŋ/
reliable	可靠的	/rɪˈlaɪəbəl/
survives	幸存	/sərˈvaɪvz/
useless	无用的	/ˈjusləs/
supported	支持	/səˈpɔːrtɪd/
affects	影响	/əˈfɛkts/
consistency	一致性	/kənˈsɪstənsi/
effectiveness	有效性	/ɪˈfɛktɪvnəs/
reward	奖励	/rɪˈwɔːrd/
vehicles	车辆	/ˈviːɪklz/
fuel	燃料	/fjuːəl/
largely	主要地	/ˈlɑːrdʒli/
produces	生产	/prəˈduːsɪz/
loses	失去	/ˈluːzɪz/
smoked	熏制的	/sməʊkt/
coworkers	同事	/ˈkoʊwɜːrkərz/
club	俱乐部	/klʌb/
govern	统治	/ˈɡʌvərn/
lowest	最低的	/ˈloʊɪst/
levels	水平	/ˈlɛvəlz/
google	谷歌	/ˈɡuːɡəl/
anchor	锚	/ˈæŋkər/
selection	选择	/sɪˈlɛkʃən/
larger	更大的	/ˈlɑːrdʒər/
contains	包含	/kənˈteɪnz/
flies	苍蝇	/flaɪz/
beats	节拍	/bits/
unintended	无意的	/ˌʌnɪnˈtɛndɪd/
beating	打	/ˈbiːtɪŋ/
pushed	推	/pʊʃt/
pushes	推	/pʊʃɪz/
olympic	奥运会	/oʊˈlɪmpɪk/
won	赢得	/wʌn/
dinners	晚餐	/ˈdɪnərz/
combines	结合	/kəmˈbaɪnz/
applying	应用	/əˈplaɪɪŋ/
overconfidence	过于自信	/ˌoʊvərˈkɑːnfɪdəns/
greatness	伟大	/ˈɡreɪtnəs/
appearance	外貌	/əˈpɪrəns/
secretly	秘密地	/ˈsiːkrətli/
agreed	同意	/əˈɡriːd/
complained	抱怨	/kəmˈpleɪnd/
throws	投掷	/θroʊz/
reacted	反应	/riˈæktɪd/
demanded	要求	/dɪˈmændɪd/
sixteen	十六	/ˈsɪkstiːn/
channel	频道	/ˈtʃænəl/
hesitated	犹豫	/ˈhɛzɪteɪtɪd/
joined	加入	/dʒɔɪnd/
signals	信号	/ˈsɪɡnəlz/
professor	教授	/prəˈfɛsər/
grows	增长	/ɡroʊz/
embedded	嵌入	/ɪmˈbɛdɪd/
indistinguishable	难以区分的	/ˌɪndɪˈstɪŋɡwɪʃəbəl/
dirt	污垢	/dɜːrt/
entirely	完全地	/ɪnˈtaɪərli/
painful	痛苦的	/ˈpeɪnfəl/
loop	循环	/luːp/
unfortunately	不幸地	/ʌnˈfɔːrtʃənətli/
landed	降落	/ˈlændɪd/
slave	奴隶	/sleɪv/
begins	开始	/bɪˈɡɪnz/
ownership	所有权	/ˈoʊnərʃɪp/
productive	有成效的	/prəˈdʌktɪv/
effectively	有效地	/ɪˈfɛktɪvli/
powerless	无能为力的	/ˈpaʊərləs/
supportive	支持的	/səˈpɔːrtɪv/
mood	心情	/muːd/
temple	寺庙	/ˈtɛmpəl/
unknowns	未知	/ʌnˈnoʊnz/
hearing	听力	/ˈhɪrɪŋ/
paused	暂停	/pɔːzd/
sounded	听起来	/ˈsaʊndɪd/
downs	下降	/daʊnz/
adults	成年人	/əˈdʌlts/
fewer	更少	/ˈfjuːər/
difficulties	困难	/dɪˈfɪkəltiz/
whisper	低语	/ˈwɪspər/
jumping	跳跃	/ˈdʒʌmpɪŋ/
smaller	更小	/ˈsmɔːlər/
seconds	秒	/ˈsɛkənds/
truths	真相	/truːθs/
needing	需要	/ˈniːdɪŋ/
membership	会员资格	/ˈmɛmbərʃɪp/
efforts	努力	/ˈɛfərts/
airport	机场	/ˈɛrˌpɔrt/
gaining	获得	/ˈɡeɪnɪŋ/
valued	有价值的	/ˈvæljud/
displays	展示	/dɪˈspleɪz/
selfish	自私的	/ˈsɛlfɪʃ/
unkind	不友善的	/ʌnˈkaɪnd/
achieved	实现	/əˈtʃiːvd/
highest	最高的	/ˈhaɪɪst/
recognized	认可	/ˈrɛkəɡˌnaɪzd/
salary	薪水	/ˈsæləri/
promoted	晋升	/prəˈmoʊtɪd/
rewrote	重写	/riːˈroʊt/
clarify	澄清	/ˈklærəˌfaɪ/
dramatically	戏剧性地	/drəˈmætɪkli/
unclear	不清楚	/ʌnˈklɪr/
sounds	声音	/saʊndz/
imitating	模仿	/ˈɪmɪˌteɪtɪŋ/
combined	结合	/kəmˈbaɪndɪd/
showed	显示	/ʃoʊd/
respected	受尊敬的	/rɪˈspɛktɪd/
therefore	因此	/ˈðɛrˌfɔr/
chairman	主席	/ˈtʃɛrmən/
sides	双方	/saɪdz/
access	访问	/ˈæksɛs/
interviews	面试	/ˈɪntərˌvjuːz/
copying	复制	/ˈkɑːpiŋ/
employee	雇员	/ɪmˈplɔɪˌiː/
courses	课程	/ˈkɔːrsɪz/
closely	密切地	/ˈkloʊsli/
existing	现有的	/ɪɡˈzɪstɪŋ/
harm	伤害	/hɑːrm/
nights	夜晚	/naɪts/
origins	起源	/ˈɔːrɪdʒɪnz/
maximum	最大的	/ˈmæksɪməm/
technical	技术的	/ˈteknɪkl/
advanced	先进的	/ədˈvænst/
miles	英里	/maɪlz/
removing	移除	/rɪˈmuːvɪŋ/
limit	限制	/ˈlɪmɪt/
ships	船只	/ʃɪps/
waited	等待	/weɪtɪd/
manufacturing	制造	/ˌmænjʊˈfæktʃərɪŋ/
believing	相信	/bɪˈliːvɪŋ/
healthier	更健康的	/ˈhɛlθiər/
chips	薯片	/tʃɪps/
aims	目标	/eɪmz/
studies	研究	/ˈstʌdiz/
cave	洞穴	/keɪv/
foods	食物	/fuːdz/
wine	葡萄酒	/waɪn/
ordering	订购	/ˈɔːrdərɪŋ/
surprising	令人惊讶的	/sərˈpraɪzɪŋ/
plays	戏剧	/pleɪz/
follows	跟随	/ˈfɑːloʊz/
operate	操作	/ˈɑːpəreɪt/
aligned	对齐	/əˈlaɪnd/
possibly	可能	/ˈpɑːsəbli/
offering	提供	/ˈɔːfərɪŋ/
answering	回答	/ˈænsərɪŋ/
maps	地图	/mæps/
tails	尾巴	/teɪlz/
accepted	接受	/əkˈsɛptɪd/
aim	目标	/eɪm/
stages	阶段	/steɪdʒɪz/
losses	损失	/ˈlɔːsɪz/
sections	部分	/ˈsɛkʃənz/
regularly	定期地	/ˈrɛɡjələrli/
entering	进入	/ˈɛntərɪŋ/
sales	销售	/seɪlz/
combination	组合	/ˌkɑːmbɪˈneɪʃən/
campaign	活动	/kæmˈpeɪn/
easter	复活节	/ˈiːstər/
venture	冒险	/ˈvɛntʃər/
likes	喜欢	/laɪks/
generation	一代	/ˌdʒɛnəˈreɪʃən/
trained	训练	/treɪnd/
capacity	容量	/kəˈpæsəti/
tech	技术	/tɛk/
accepts	接受	/əkˈsɛpts/
bills	账单	/bɪlz/
budget	预算	/ˈbʌdʒɪt/
demand	需求	/dɪˈmænd/
pays	支付	/peɪz/
searching	搜索	/ˈsɜːrtʃɪŋ/
flexibility	灵活性	/flɛkˈsɪbɪlɪti/
limiting	限制	/ˈlɪmɪtɪŋ/
seasons	季节	/ˈsiːzənz/
factor	因素	/ˈfæktər/
suggests	建议	/səˈdʒɛsts/
interpret	解释	/ɪnˈtɜːrprɪt/
official	官方的	/əˈfɪʃəl/
obviously	显然	/ˈɑːbvɪəsli/
salads	沙拉	/ˈsælədz/
ad	广告	/æd/
purely	纯粹地	/ˈpjʊrli/
circumstance	情况	/ˈsɜːrkəmstəns/
boxes	盒子	/ˈbɑːksɪz/
types	类型	/taɪps/
aspect	方面	/ˈæspɛkt/
recommend	推荐	/ˌrɛkəˈmɛnd/
currency	货币	/ˈkɜːrənsi/
summary	摘要	/ˈsʌməri/
exists	存在	/ɪɡˈzɪsts/
implemented	实施	/ˈɪmplɪmɛntɪd/
ears	耳朵	/ɪrz/
mosquitoes	蚊子	/məˈskitoʊz/
confusing	令人困惑的	/kənˈfjuːzɪŋ/
judging	判断	/ˈdʒʌdʒɪŋ/
resource	资源	/ˈriːsɔːrs/
updated	更新	/ʌpˈdeɪtɪd/
fields	领域	/fildz/
academic	学术的	/ˌækəˈdɛmɪk/
flexible	灵活的	/ˈflɛksəbəl/
tests	测试	/tɛsts/
explains	解释	/ɪkˈspleɪnz/
races	比赛	/reɪsɪz/
predictions	预测	/prɪˈdɪkʃənz/
unsure	不确定的	/ʌnˈʃʊr/
returning	返回	/rɪˈtɜːrnɪŋ/
widest	最宽的	/ˈwaɪdɪst/
predicting	预测	/prɪˈdɪktɪŋ/
saves	节省	/seɪvz/
imagination	想象力	/ɪˌmædʒɪˈneɪʃən/
unfortunate	不幸的	/ʌnˈfɔːrtʃənət/
advances	进步	/ədˈvænsɪz/
designing	设计	/dɪˈzaɪnɪŋ/
calculate	计算	/ˈkælkjəˌleɪt/
historical	历史的	/hɪˈstɔːrɪkəl/
committing	承诺	/kəˈmɪtɪŋ/
added	添加	/ˈædɪd/
fever	发烧	/ˈfiːvər/
dramatic	戏剧性的	/drəˈmætɪk/
drove	驾驶	/droʊv/
empowering	赋予权力的	/ɪmˈpaʊərɪŋ/
empowered	赋予权力	/ɪmˈpaʊərd/
enables	使能	/ɪˈneɪbəlz/
context	上下文	/ˈkɑːntɛkst/
enjoyed	享受	/ɪnˈdʒɔɪd/
resulted	导致	/rɪˈzʌltɪd/
numbers	数字	/ˈnʌmbərz/
phenomenon	现象	/fəˈnɑːmɪnɑːn/
ends	结束	/ɛndz/
recorded	记录	/rɪˈkɔːrdɪd/
pursued	追求	/pərˈsud/
destination	目的地	/ˌdɛstɪˈneɪʃən/
houses	房屋	/ˈhaʊzɪz/
promotions	促销	/prəˈmoʊʃənz/
mate	伙伴	/meɪt/
fulfilled	实现	/fʊlˈfɪld/
unimportant	不重要	/ˌʌnɪmˈpɔːrtənt/
romantic	浪漫	/roʊˈmæntɪk/
leap	跳跃	/liːp/
amazon	亚马逊	/ˈæməzɑːn/
connecting	连接	/kəˈnɛktɪŋ/
sentences	句子	/ˈsɛntənsɪz/
atomic	原子	/əˈtɑːmɪk/
dependence	依赖	/dɪˈpɛndəns/
waitlist	候补名单	/ˈweɪtlɪst/
supports	支持	/səˈpɔːrts/
fuels	燃料	/fjuz/
voices	声音	/ˈvɔɪsɪz/
promotes	促进	/prəˈmoʊts/
laws	法律	/lɔːz/
distributing	分发	/dɪˈstrɪbjutɪŋ/
permission	许可	/pərˈmɪʃən/
writers	作家	/ˈraɪtərz/
allowing	允许	/əˈlaʊɪŋ/
reader	读者	/ˈriːdər/
references	参考	/ˈrɛfərənsɪz/
identifiers	标识符	/aɪˈdɛntɪfaɪərz/
subjects	主题	/ˈsʌbdʒɛkts/
classification	分类	/ˌklæsɪfɪˈkeɪʃən/
vectors	向量	/ˈvɛktərz/
hoped	希望	/hoʊpt/
generations	代	/ˌdʒɛnəˈreɪʃənz/
brief	简要	/briːf/
triggers	触发器	/ˈtrɪɡərz/
maximizing	最大化	/ˈmæksɪˌmaɪzɪŋ/
cultures	文化	/ˈkʌltʃərz/
industries	行业	/ˈɪndəstriːz/
businesses	企业	/ˈbɪznəsɪz/
balance	平衡	/ˈbæləns/
extends	延伸	/ɪkˈstɛndz/
secrets	秘密	/ˈsiːkrɪts/
interrupt	打断	/ˌɪntəˈrʌpt/
split	分裂	/splɪt/
unscheduled	未安排的	/ʌnˈʃɛdjuːld/
concerns	关注	/kənˈsɜːrnz/
bookstores	书店	/ˈbʊkstɔːrz/
impatient	不耐烦的	/ɪmˈpeɪʃənt/
centuries	世纪	/ˈsɛnʧəriz/
slower	较慢的	/ˈsloʊər/
repaired	修复	/rɪˈpɛrd/
rescheduled	重新安排	/ˌriːˈʃɛdjuːld/
rebuilding	重建	/ˌriːˈbɪldɪŋ/
efficiently	高效地	/ɪˈfɪʃəntli/
breaks	休息	/breɪks/
believes	相信	/bɪˈlivz/
unthinking	不思考的	/ʌnˈθɪŋkɪŋ/
described	描述	/dɪˈskraɪbd/
philosophers	哲学家	/fəˈlɑːsəfərz/
scientists	科学家	/ˈsaɪəntɪsts/
attack	攻击	/əˈtæk/
equals	等于	/ˈiːkwəlz/
intention	意图	/ɪnˈtɛnʃən/
shortcuts	捷径	/ˈʃɔːrtkʌts/
fitness	健身	/ˈfɪtnəs/
developed	发展	/dɪˈvɛləpt/
fighting	战斗	/ˈfaɪtɪŋ/
occurs	发生	/əˈkɜːrz/
conform	遵守	/kənˈfɔːrm/
overview	概述	/ˈoʊvərˌvjuː/
movies	电影	/ˈmuːviz/
reacts	反应	/riˈækts/
